question,label
Briefly explain why does surface tension remain constant once critical micelle concentration (CMC) is reached.,L2
"""Assume that there is one dominant firm in the industry that sets the price and then all the other firms in the industry behave like perfectly competitive priceÂ­ taking firms"". By using appropriate diagrams, explain the underlying assumptions of the model stated in the statement.",L2
Explain the working of armature controlled D.,L2
Explain the following laws with suitable diagram.,L2
Stock market serves as an important predictor of economic activities. Explain how the stock market values can predict real economic activity.,L2
"Explain one (1) major advantage, and one (1) major disadvantage, of a fixed period system. ",L2
Define with example.,L2
Define instructional materials. Provide an example of an instructional material for a subject.,L2
Explain the properties of line codes.,L2
Briefly explain the differences between and Langmuir-Blodgett (LB) monolayer and self-assembled monolayer (SAM).,L2
Draw the energy band diagram of an 11-type semiconductor and explain how an electron-hole pair (EHP) is formed. State any assumptions you have made.,L2
Give TWO (2) examples how intrinsic reliability failure occurs in ICs.,L2
Enlist the various bridge circuits you have studied and mention the measurement carried out using these bridges.,L2
Describe soil colloids and their importance.,L2
Elaborate FIVE (5) factors that will influence the demand and supply of a currency.,L2
List THREE (3) characteristics of monopolistic competition and explain how do firms in this market structure compete.,L2
With a neat diagram show interfacing of 8 KB of Data ROM memory to 8051.,L2
Malaysia is currently having trade deficit and policy maker tries to improve the balance of trade by depreciate the Ringgit Malaysia. Discuss the impact of this policy by using an appropriate diagram.,L2
Explain dynamic branch prediction and delayed branch prediction for MIPS pipeline with suitable diagram and example.,L2
Explain in brief the relationship in tension and compression of concrete in hardened state.,L2
Discuss in detail the THREE (3) major asset allocation strategies in managing portfolio.,L2
Explain any one type of Cache Mapping technique with diagram.,L2
Explain working of IC 555 astable multivibrator.,L2
You are working with SP Setia Properties as the Sales Manager for the following project. Discuss EIGHT (8) ways to increase profits of the project.,L2
Explain concept of enception handling in Java with suitable example.,L2
Discuss the TWO (2) steps of Crisis Management Performance (CMP) evaluation process. Provide an appropriate example for each step.,L2
Describe the differences between progeny and sib testings.,L2
Give TWO disadvantages of Transmission Electron Microscopy (TEM).,L2
Explain how GIS is an important tool for civil engineers.,L2
"Company director can be removed by the shareholders during general meetings. However, the office of a director can become vacant under certain circumstances. Discuss FOUR (4) criteria for vacation of office.",L2
Explain concept of constructors in Java with suitable example.,L2
Briefly explain why surface tension remains constant once critical micelle concentration (CMC) is reached.,L2
Draw a comprehensive poster layout design for Visit Malaysia 2020 campaign. Provide a design rationale to support your idea.,L2
Write a short note on PLA.,L2
Give TWO methods to measure the surface coverage.,L2
Define terms of trade and identify which country has an absolute advantage in the production of jade and diamond.,L2
With the help of diagram explain the main concept of solar thermal power plant.,L2
Explain the FIVE (5) procedures which need to be documented during the site inspection.,L2
"Briefly discuss how the use of manure, organic by-products and commercial fertilizers have changed over time. ",L2
Identify TWO (2) types of personality that are relevant to aggression.,L2
Explain how soil acts as a geochemical trap and state the various remediation techniques.,L2
Draw the TCON and TMOD register and explain use of individual bits of both the registers.,L2
Outline FIVE (5) functional requirements of a floor.,L2
Write  a short note on.,L2
Draw V to I converter with grounded load and explain with its output equation.,L2
Describe SIX (6) functional requirements of walls.,L2
Briefly discuss the advantage of C3 and C4 pathways for weeds.,L2
"Explain why bogs are considered to be a ""carbon sink"". ",L2
Explain with circuit diagram the dynamic MOS memory.,L2
Explain briefly with neat sketch cylindrical and adjustable locators.,L2
Explain FIVE (5) reasons for the importance of global markets to marketers.,L2
Explain the functional advantages provided by enzymes with a quaternary structure.,L2
Explain in detail about writing console output in Java with suitable example.,L2
Explain formal network.,L2
Explain the importance of using initial rate to determine enzymatic activity.,L2
Discuss any vacuum gauge tester in detail with a diagram.,L2
Define fold and explain any three types of folds.,L2
Explain look ahead carry generator circuit.,L2
Explain Gauss elimination method for solving simultaneous equations.,L2
Explain in brief RAID levels in detail.,L2
Thomas (1976) has identified five styles in resolving a conflict such as avoidance. Explain the other FOUR (4) styles in resolving a conflict.,L2
Describe SIX (6) factors that are affecting supply in the construction industry.,L2
"Explain the meaning of the law of diminishing marginal returns. Briefly describe the relationship between total product (TP) and marginal product (MP), marginal product (MP) and average product (AP).",L2
Describe whether the soil is contaminated or polluted.,L2
Various policies were implemented by the governments in order to mitigate the concerns over efficient losses arising from natural monopoly. Describe natural monopoly and provide ONE (1) example of natural monopoly.,L2
Explain the working of PV cell and simplest Equivalent Circuit for a photovoltaic Cell.,L2
Discuss THREE (3) situations that necessitate the use of pile foundation.,L2
Explain the procedure of establishing horizontal control for setting of a tunnel.,L2
Describe THREE (3) types of test that can be applied for a concrete structure survey.,L2
Explain the underlying assumptions of the price-leadership model by using appropriate diagrams.,L2
The internet increases customer benefits in many ways that have revolutionised marketing practices. Discuss with examples THREE (3) ways in which internet increases customer benefits from products offered online.,L2
Write a short note on proximity effect.,L2
Explain with neat circuit diagram RC phase shift oscillator.,L2
"In soil pH, define buffering and explain why it is important in soils. ",L2
Write down Schrodinger's equation in one dimension and explain the meaning of each term of the equation.,L2
What are the functions of arches and lintels?,L2
Discuss TWO adverse consequences of using wetlands as recipients of irrigation wastewater.,L2
"Discuss the adoption issues surrounding Facebook and internet, as well as their implications for e-marketers. ",L2
"Just-in-time (JIT) attempts to remove delays, which do not add value. Explain how JIT copes with weather and its impact on crop harvest and transportation times. ",L2
Define âecosystem servicesâ and describe how they are benefiting our society.,L2
Explain creative brief.,L2
Identify FOUR (4) types of key publics that McDonald's Malaysia has to notify about the crisis. Explain your answer with appropriate example for each of the publics.,L2
Explain truncation error and round off errors with example.,L2
Explain with an energy band diagram how an electron-hole pair (EHP) is formed in a semiconductor.,L2
Explain FOUR (4) criteria of instructional materials by Tomlinson (2001).,L2
Explain midpoint circle generation algorithm by deriving the steps.,L2
"Describe the effectiveness of advertising value of products, price, competition, consumer and business.",L2
Describe working of astable multivibrator with necessary diagrams and derivations.,L2
With suitable diagram explain construction and working of foil type strain gauge.,L2
Illustrate and explain how perfect competitive firms adjust in long-run if they are enjoying positive economic profit in short-run.,L2
Discuss the actions of central bank towards monetary policy that will significantly influence Federal Funds Rate in short run.,L2
Draw and Explain Hardwired control unit.,L2
Clearly explain why induction motor is known as generalized transformer.,L2
Discuss the potential profit and loss for the long straddle.,L2
Explain the meaning of creative brief.,L2
Discuss TWO (2) common methods of managing inventory adopted by manufacturing and retailing companies.,L2
Timber and plastic are common materials used in construction industry. Elaborate FIVE (5) specific applications for each material in building construction.,L2
The 'creators' and critics' are the most desired social segments. Explain how social media marketers are able to increase these segments' level of involvement in the social media.,L2
With suitable diagram explain polarity test on transformer.,L2
Define filter.,L2
"Draw a graph showing the demand curve faced by a perfectly competitive firm. On the same graph, draw the demand curve faced by a monopolistically competitive firm. Explain your reasoning for each curve. ",L2
"Local oxidation of silicon or LOCOS is a type of application which involves wet oxidation. With the aid of diagrams, briefly illustrate this process. ",L2
"""Portfolio management strategies are different based on investor's risk preferences and expected returnâ. Based on above statement, briefly discuss TWO (2) major portfolio management strategies. ",L2
Explain resource allocation methods and their significance in manpower planning.,L2
Describe FIVE (5) limitations of small size construction firms in Malaysia.,L2
Explain the profit and loss for Alice and GCB bank.,L2
Explain Concept of File?,L2
Explain THREE (3) categories of treatment to enhance the durability of timber.,L2
Illustrate negative indexing in list with an example.,L2
An electron experiences a potential difference of 5 kV in vacuum. Find the wavelength of the particle.,L2
Explain with neat diagram construction and  working of IBM processes.,L2
Corporate bond is a debt contract (indenture) that requires borrowers to make periodic payment of interest and repayment of principal at the end of maturity date. Explain the type of market for corporate bond.,L2
Describe the methodology of determining the transcriptional start site using RACE-PCR.,L2
Elaborate on the importance of 'stability' for industrial enzymes.,L2
Define economic growth. List and explain how the public policies can promote economic growth.,L2
Discuss the importance of soil structure in vegetable farms.,L2
Describe characteristics and importance of secondary market.,L2
Explain the Securities Act of 1933 and the Securities Exchange Act of 1934.,L2
"Discuss the level of trust consumers place in digital media, and how that trust helps or hinders e-marketers. ",L2
Subsurface exploration can be divided into THREE (3) programs. Explain in detail the conclusion that could be derived from each program.,L2
"For international marketers, economic factors are important. Explain why economic factors are important to them. ",L2
Give THREE examples of symptoms that resemble herbicide damage on plants.,L2
With the help of neat sketch explain single block brake.,L2
List the advantages and limitations of protein crystal structure determination using X-Ray crystallography.,L2
Illustrate the enqueue and dequeue operations of queue.,L2
Explain the addressing modes of 8051 Microcontroller with examples.,L2
Illustrate the needs of timber preservation and the techniques.,L2
Draw Production Possibilities Frontier and Trading Possibilities Frontier for Korea and Indonesia.,L2
Identify the key enzymes and explain their roles in fatty acid biosynthesis that contribute to the unique fatty acid composition of palm mesocarp oil.,L2
"State any TWO (2) of Malaysia's rules, regulations or standards which are related to scaffolding and falsework. ",L2
"Besides LOCOS, name TWO (2) other applications which require thermal processes. ",L2
Discuss what world-class producers do in regards to product or service design and process design.,L2
List the factors affecting compaction and explain the effect of compaction on any four soil properties.,L2
Give the Dirichlet conditions for continuous time Fourier series.,L2
Explain why safety program have to be implemented at work site.,L2
Dopamine and glutamate have both been implicated as causes of schizophrenia. Discuss THREE (3) evidences each in relation to the dopamine and glutamate theories of schizophrenia.,L2
Define a tree.,L2
Letter of credit is a written promises to pay third party on clients behalf. Explain the functions of commercial letter of credit and standby letter of credit.,L2
Discuss THREE (3) types of anomalies associated with database tables that have not been normalized.,L2
Explain properties of insulating materials which are used in line insulator.,L2
Name and briefly describe three types of column chromatography used in protein purification.,L2
Briefly describe FOUR common characteristics that are possessed by a wild animal before they could be considered for domestication.,L2
Define âbiogeochemical cyclingâ and discuss its importance to the ecosystem and survival of living organisms.,L2
Write a note on setting out alignment of road.,L2
Depict the concept of Instruction level parallelism.,L2
State TWO types of enzyme specificities that do not agree with lock and key model. Explain your answer.,L2
Highlight the differences between an equilibrium in dominant strategy as compared to Nash equilibrium.,L2
State the conditions necessary for the formation of enzyme's quaternary structure. Explain how quaternary structure could contribute to enzyme stability.,L2
Write short note on varnishing.,L2
Information technology can be expensive. Identify and explain FIVE (5) factors that put upward pressure on internet pricing for online retailer.,L2
Discuss the components that are integral to the internal control framework in a public listed company.,L2
Explain instruction pipelining in detail.,L2
Explain briefly the design development process.,L2
Write note on interrupt structure of 8051.,L2
Draw Production Possibilities Frontier and Trading Possibilities Frontier for China and South Africa.,L2
State any four applications of DC Series motor.,L2
"Describe how the soil colloidal complex tends to serve as a ""reservoir"" for plant nutrients. ",L2
Explain what a junk bond is and its role in the financial market.,L2
Write short note on design activism.,L2
"Market anomalies are research findings that do not support market efficiency hypothesis; that is, they are evidence that inefficiencies do exist. Discuss FIVE (5) common market anomalies. ",L2
Discuss any FOUR (4) elements which are embedded in Total Quality Management Programme.,L2
Draw ONE (1) point perspective with TWO (2) geometrical forms.,L2
The oscillating jet method is commonly used to study the surface/interfacial tensions. Give another THREE methods that are used to measure surface/interfacial tension.,L2
Identify and describe the FOUR (4) criteria for judging economic outcomes.,L2
Draw and explain detail block diagram of hardwired control unit.,L2
Write in detail mineral wealth of GONDWANA.,L2
Massive Open Online Course (MOOC) is a developing trend in media and technology. Predict the future of higher education with MOOC.,L2
Explain necessity horizontal and vertical controls in construction activity.,L2
What is threaded binary search tree.,L2
Explain why hazard identification in the case of pathogens is complicated.,L2
Eukaryotic genome is mostly repetitive DNA and non-coding sequences. Elaborate the statement.,L2
Describe the major functions or roles of soil microbes that beneficially impact human health and welfare.,L2
Briefly explain the desire properties of aggregate in producing concrete mixture.,L2
Draw circuit diagram of current mirror circuit and explain in detail.,L2
Explain the classification of memories based on their principle of operation.,L2
Describe with block diagram ditital signal hierarchy using T1 carrier system.,L2
State the necessity of FRL unit in Pneumatic System.,L2
What is the need of electric vehicle?,L2
"Discuss why physical weathering is more prevalent in dry, cool regions while chemical weathering is more prevalent in wet, hot regions. ",L2
Write a short note on checking verticality of tall building.,L2
Describe the features of lactate dehydrogenase (LDH) as an isozyme. Discuss the diagnostic importance of LDH.,L2
Define and explain the THREE (3) steps of bringing a new security issue in primary market.,L2
Briefly describe the BLOSUM scoring matrix.,L2
Discuss THREE mechanisms of vegetative reproduction that make certain weeds successful in establishment.,L2
Explain the relationship between bond price and market interest rate using the bond pricing formula.,L2
Draw ONE (1) self-contained format and ONE (1) free form format of logo design.,L2
Explain THREE (3) waves of globalisation.,L2
"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",L2
GenBank offers a few options for nucleotide sequence submissions. Name TWO available options and when are they used.,L2
Define CDF and state any four properties of CDF.,L2
Explain FOUR (4) types of process design that could be found in manufacturing companies.,L2
Explain the activities involved in the building process.,L2
Majority shareholders may be opportunistic at the expense of minority  shareholders due to their controlling stake in the company. Explain majority agency problem in the context of corporate governance.,L2
Explain RMC with their advantages and disadvantages.,L2
Explain FOUR (4) advantages of using multimedia in classroom.,L2
Explain one example try block with multiple catch statements.,L2
"Using Tom Duncan's levels of brand relationship intensity, explain the relationship between Apple iPhone and its customers.",L2
"In computational methods of analyzing flows in rivers and channels, effects of turbulence are reflected in different ways depending on how the flow is modelled. Give examples of these models and explain the advantages and  shortcomings. ",L2
Explain the role of mesofauna in the decay of fresh organic matter.,L2
Explain Darlington connection and explain how it improves the current gain.,L2
Name and briefly discuss the EIGHT (8) documents used in the purchase and cash disbursement process of a company.,L2
Describe any three specification of ADC.,L2
Discuss the impact of advertising on children.,L2
State and explain the physical significance for following properties for CT signals.,L2
Explain FPGA architecture.,L2
Briefly explain if restriction mapping is useful in determining the presence of minisatellite.,L2
With suitable diagram explain nucleonic method of level measurement.,L2
Sketch ONE (1) movement to show repetition in shape and color.,L2
Briefly explain which characteristics of alluvial soils make them ideal for agriculture.,L2
Draw and explain Block diagram of an adjustable three terminal positive voltage regulator.,L2
Explain Phase angle measurement by Lissajous pattern.,L2
Elaborate FOUR (4) advantages of using Web 2.0 and 3.0 in teaching and learning.,L2
Briefly describe the advantages of marker assisted selection in farm animal breeding.,L2
"Discuss the benefits of palm oil, in terms of versatility, diet-health relationship and sustainability. ",L2
Explain THREE (3) reasons why AD curve is downward sloping.,L2
Explain in detail the chemisorptions of ammonia. Focus only on molecular adsorption of ammonia on a solid surface at low temperature.,L2
Explain various factors which affects breakdown of solid insulating material.,L2
Discuss the advantages of reducing the minimum feature size.,L2
Give FOUR information that can be obtained from Scanning Electron Miscroscope (SEM).,L2
Draw and label the typical heat denaturation curves for mesophilic and thermophilic enzymes.,L2
Draw powerflow diagram of DC motor write the respective expressions of Power and losses involved.,L2
Briefly explain the SIX (6) key activities involved in the conversion cycle of a manufacturing company.,L2
Why starter is required in a DC motor?,L2
Draw and Explain working of SCR.,L2
Briefly discuss THREE factors with ONE example each that should be considered when determining fertilizer placement method.,L2
"Besides silicon and germanium, name ONE (1) other material which could be used to fabricate transistors. ",L2
Explain how the BAUD rate is set for serial communication in 8051 microcontroller.,L2
Write Short Note on Cluster Configuration.,L2
Explain Preliminary Geological Investigations carried out for Tunneling.,L2
Define Graph.,L2
Discuss the factors that affect the stability of high-rise buildings.,L2
State the forces stabilizing functional structure of enzyme which is most susceptible to drastic pH changes. Explain your answer using an example.,L2
Explain briefly FIVE (5) strategies for effective packaging design.,L2
Describe the operation of TTL logic circuit working as NAND gate.,L2
Give brief information of Austenite to Pearlite Transformation.,L2
Explain Fixed Partitioning and Dynamic Partitioning memory management Schemes.,L2
Draw and explain how CMOS inverter works as amplifier with active load configuration.,L2
Explain the significance of the position of rubber-synthesizing cis prenyltransferases in the structure of a rubber particle.,L2
The key success of Arnold Palmer Hospital is its implementation of Total Quality Management (TQM) Programme. Describe FIVE (5) principles of TQM Programme which have been adopted by the aforesaid hospital.,L2
"Provide a guideline for effective use of photography of display materials"" in teaching of English language. ",L2
Describe the purposes of utilizing Building Information Modelling in the construction industry.,L2
Briefly explain FOUR (4) manufacturing layout you have learned.,L2
"Draw a technology enhanced language learning classroom sketch for a grammar lesson with 10 low proficiency students, aged 13. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ",L2
Explain how human capital can lead to economic growth.,L2
"Illustrate with a labeled drawing the pathway of sulfate assimilation in leaf mesophyll cells. In your answer, describe how sulfate is transported from the root to leaf cells, the energy requirements of sulfate assimilation, and the fate of unassimilated sulfate. ",L2
Identify and elaborate FOUR (4) determinants of an option's premium.,L2
Describe the interactions involved in stabilization of enzyme's quaternary structure. Explain which of these interactions is the least likely to be affected by denaturation at a liquid-liquid interface.,L2
Explain how transactions are audited in an electronic data interchange environment.,L2
Explain winding number method.,L2
Explain Closely Coupled and Loosly Coupled microprocessor systems.,L2
Draw the detailed block diagram of SMPS and explain its operation.,L2
What are different methods of speed control for three phase induction motor.,L2
With suitable block diagram explain working of static energy meter.,L2
Explain rotor resistance starter used for slipring induction motor with suitable diagram.,L2
Explain how to use a particular package in a Java program.,L2
List various types of direction control valve.,L2
Explain the basic concepts in construction economics as introduced by Myers (2017).,L2
Explain FOUR (4) major forces which move water into wall claddings and measures to be taken to eliminate these problems. You are required to include illustrations in your explanation.,L2
"According to many researchers, market inefficiencies do exist in most of the stock markets in the world and also known as market anomalies. This situation is contradicted to market efficiency hypothesis. Describe SIX (6) market inefficiencies that commonly happen in the stock markets. ",L2
Explain in brief various retrofitting techniques used to strengthening RCC column and beams.,L2
With neat waveforms explain the measurement of frequency by sweep method and Lissajous pattern method is dual trace oscilloscope.,L2
Explain the solidification of pure metal.,L2
Explain FIVE (5) characteristics of social media.,L2
Explain electrical method for level measurement with a suitable diagram.,L2
Write a short note on thermocouple.,L2
Elaborate Compaction factor test.,L2
Explain the conceptual design process.,L2
How O.,L2
Explain THREE (3) data collection challenges in advertising research.,L2
With the help of torque speed characteristics explain effect of addition of external resistance in rotor circuit of 3 phase slipring induction motor.,L2
Discuss the significance of genome studies in molecular medicine.,L2
Explain following instructions of 8051.,L2
Define load factor and shape factor.,L2
Discuss the regulation of ATCase which is an allosteric enzyme.,L2
"List the three types of RNA involved in the transcription and translation, and briefly explain their functions. ",L2
Explain the purpose of human communication process.,L2
Briefly explain the characteristics of monopolistic market structure.,L2
Briefly describe the hierarchical classification of proteins using CATH classification.,L2
Explain addressing modes of 8086.,L2
Describe the concept or purpose of Qlassic and CIS (Construction Industry Standards) documents.,L2
Explain working of Horizontal axis type wind turbine with diagram.,L2
Reason why hunger cannot be simplified as yet another homeostatic process. Provide TWO (2) points.,L2
Draw and explain the operation of single phase bridge rectifier supplying RL load.,L2
Give THREE (3) examples of common uses of standby letter of credit.,L2
Explain the price discriminations that associated with monopoly.,L2
Write short note on.,L2
Enlist different linear and angular methods of setting out of curves.,L2
Briefly explain why fatty acids such as stearic acid can be used in Langmuir Blodgett (LB) film deposition and how the monolayer is formed.,L2
Identify TWO (2) functions of crisis communication that must be addressed when communicating with internal stakeholder during a crisis. Explain your answer with an exarnple for each function.,L2
Write a short note on Claisen rearrangement.,L2
Explain the growth of boundary layer over a thin flat plate held parallel to the direction of flow in a real fluid.,L2
Draw and label the model of Karl Weick's Theory of Organizing.,L2
Enlist various methods available for concrete mix design and explain the step by step procedure for concrete mix design IS 10262 method.,L2
Explain composite masonry.,L2
Write a short note on concept of PLA and PAL.,L2
Draw the energy band diagram of the doped semiconductor at 300 K.,L2
Give types and applications of stepper motor.,L2
Explain historical development of wind power.,L2
Draw TWO (2) logo design for food and beverage products.,L2
The Glass-Steagall Act of 1933 and the Financial Services Modernization Act of 1999 created impact on commercial banks and investment banks in the US. Explain each act in detail.,L2
Classify soil organisms according to their ecology and state TWO examples for each group.,L2
Discuss the major air pollutants from I.,L2
Give the properties and application of Manganin.,L2
"Explain the trading behavior of hedger, speculator and arbitrageur.",L2
Draw the market demand and supply curve.,L2
Illustrate two position and floating control mode in brief with neat sketch.,L2
Explain the construction and operation of permanent magnet stepper motor.,L2
Explain TWO (2) defects which are usually occur on the surface of finished concrete.,L2
State FOUR (4) reasons why level strategy is attractive to some companies in preparing aggregate production plan.,L2
Explain FIVE (5) ways that can be practiced by the organization to communicate during the crisis.,L2
Explain various types of aquifers.,L2
Discuss FOUR (4) tactics that can be used by a spokesperson to handle different types of questions from the media. Provide your discussions with an appropriate example for each tactic.,L2
Define symmetrical balance and asymmetrical balance. Draw an example for each.,L2
Explain how changes in amino acid ionization states could affect the catalytic activity of an enzyme.,L2
E-mail marketing has evolved rapidly alongside the technological growth of the 21st century. Discuss FIVE (5) reasons why e-mail marketing is still a growth area in digital marketing.,L2
Explain segment address translation in detail.,L2
Explain the operation of SR flip flop with truth table.,L2
Explain the concept of Graph coloring.,L2
Glass is known to have good qualities and properties related to thermal and sound insulations. Discuss the application of glass in the construction of green building.,L2
Draw a table indicating purification fold and yield at each step.,L2
Explain the functions of following pins of ADC 0809.,L2
Discuss the disadvantages of timber flat roofs.,L2
State 'corporate governance' definition as mentioned in Cadbury Report (1992). Explain Malaysian Code on Corporate Governance (MCCG) 2017 âcorporate governance' definition in details.,L2
With neat block diagram explain PCM transmitter.,L2
Explain full wave centre tapped rectifier supplying resistive load with circuit diagram and waveforms.,L2
Write note on CLK2 and Internal processor clock.,L2
Explain basic concept of Hash table?,L2
Explain working of IC 555 as monostable multivibrator.,L2
With suitable diagram explain constructional details and working of pirani gauge.,L2
Explain FIVE (5) key components of organization crisis definition.,L2
What are the various losses which make the operation of actual cycle differ from that of air standard cycle Explain each loss in brief.,L2
Draw a poster layout design for Healthy Life Style.,L2
Define and contrast digital certificate and digital signature.,L2
Discuss ONE (1) limitation and benefit of duration.,L2
Find the reverse bias saturation current.,L2
Draw circuit diagram of general AC bridge and derive the equation for the balanced condition of the bridge.,L2
"Draw Production Possibilities Frontier and Trading Possibilities Frontier for Argentina and Mexico.
",L2
Illustrate SIX processes that occur in the hydrological cycle.,L2
State the classification and applications of Photogrammetry in surveying.,L2
Explain the SIX (6) power bases that determine effective leadership. Provide an example for each of the answers.,L2
IBS components can be divided into five broad categories. Briefly describe with examples all FIVE (5) categories.,L2
Ion implantation is one of the popular methods to dope semiconductors. Discuss the control parameters for this method.,L2
Explain the working of single phase full wave bridge rectifier with RL load.,L2
Explain the field application of compaction test result and how to control Field compaction.,L2
Give ONE example of aspartic protease. Describe the mechanism of aspartic protease in relation to how pH affects its activity.,L2
Draw and explain frequency response characteristics of ideal and practical low pass filter.,L2
State the various methods of Project Monitoring.,L2
Briefly explain the mechanism of RNA interference.,L2
Draw a technology enhanced language learning classroom sketch for low proficiency primary year 6 students. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom.,L2
Explain Boundary fill algorithm for polygon.,L2
Draw pin diagram of IC 555 and explain working of each pin.,L2
Discuss TWO (2) disadvantages of tokenism that is usually used to create a positive image of the system that the system is fair and without discrimination.,L2
Explain briefly how the aggregation processes could improve the water quality in a water treatment plant.,L2
What is fire escape and explain any one fire escape elements?,L2
Describe the enzyme characteristics that are desirable in high temperature industrial applications.,L2
Describe the differences in the sugar compositions between unfermented and fermented cocoa beans.,L2
"Explain in brief, the following:",L2
Choose ONE (1) of the factors that you mentioned in question 2(a) and briefly explain why you consider this factor is important.,L2
Draw and explain the interfacing diagram of strain gauge with Arduino Board showing necessary subsystems.,L2
Explain on the advantages of switching from a flat-file processing system to a database management system.,L2
Draw and explain with neat sketch of simple carburetor.,L2
"Briefly describe the properties of wood in terms of density, thermal insulation, chemical resistance and strength. ",L2
Discuss FOUR (4) economic roles of money market.,L2
Explain FOUR (4) factors in the Globalization of Financial Markets.,L2
Explain with neat sketch the Peak and Residual shear strengths of soils.,L2
"With the aid of a diagram, explain LOCOS. ",L2
Explain the functions of LCD pins and draw the interfacing diagram of LCD with Arduino board.,L2
Explain the disadvantages of polynomial representation using an array.,L2
Discuss the advantages of FinFETS over planar MOSFETs.,L2
Write an algorithm for evaluating  a postfix expressioin using stack.,L2
Two different soils were obtained during sampling and the distance between the two sites were only 100 meters apart. Discuss TWO soil forming factors which are most likely to explain the differences.,L2
Draw the energy band diagram of an intrinsic Si and label the band gap energy.,L2
State 3 advantages and 3 disadvantages of LVDT.,L2
Define Bank Capital and elaborate the functions of Bank Capital.,L2
Explain in details IEEE Standards for Representing floating point Numbers in following formats.,L2
Briefly describe how riparian forests help in  reducing nitrate contamination in rivers reducing nitrate and streams.,L2
Define soil horizon and relate it with soil profile.,L2
Write a short note on V to I converter with grounded type load.,L2
Discuss FIVE (5) main differences between aims and learning outcomes.,L2
State the significance of âScoreâ in the BlastX alignment.,L2
Explain the terms enantiomers and diastereomers giving examples.,L2
Discuss the significance of human genome project.,L2
Explain the following Signals.,L2
Enlist continuous control modes used in process control system and explain PI and PD control modes with suitable example.,L2
Explain working of TOD meter with a suitable diagram.,L2
Explain the anti-advertising consumer organizations culture.,L2
Write a short note on Bearing Materials.,L2
Explain the process of municipal solid waste to energy conversion with diagram.,L2
Explain the working principle of practical differentiator circuit with neat circuit diagram and derivation of output equation.,L2
Writes a short note on edge preparation in welding.,L2
"Define graphic design, product design and environmental design. Provide ONE (1) example for each. ",L2
Draw circuit diagram of inverting Schmitt trigger and plot hysteresis and explain in short.,L2
Explain the importance of using initial velocity to study enzymatic catalysis.,L2
Draw and discuss the dead weight tester with diagram.,L2
Briefly explain why coating a nanoparticle or surface with a polyelectrolyte (polymer with ionizable groups) is favourable.,L2
Describe the components in the Mechanical and electrical System used in buildings.,L2
The price of good is one of the internal factors of determinants of demands and it also depends on the cost of production. Describe the TWO (2) types of production cost with examples.,L2
Explain 4P's of marketing.,L2
State two differences between a JFET and a BJT.,L2
Explain the physical meaning of transconductance.,L2
Describe THREE factors that affect soil aeration.,L2
"Describe the common structural features of phosphatidylserine, phosphatidylethanolamine, phosphatidylcholine and phosphatidylinositol. State their general function(s). ",L2
Explain Java history in detail.,L2
Write short notes on .,L2
Explain different types of constrained motion with neat sketch.,L2
Name the TWO ways of how molecules bonded to surface. Provide a brief description on the modes of adsorption.,L2
Draw the energy band diagram of the pn junction.,L2
Discuss Individualism vs. Collectivism in Hofstede's Dimensions of Culture.,L2
Explain pulse code modulation and write Differentiate between pulse analog modulation and pulse digital modulation.,L2
Explain in detail about seperate and independant compilation.,L2
"Oxygen is effectively transported by hemoglobin, regulated by some allosteric effectors in human blood. Name these allosteric effectors and discuss how their presence increases effective delivery of oxygen to tissues.",L2
Write short note on Permanent Magnet Stepper Motor.,L2
Explain briefly 'designer' and 'professional designer'.,L2
Sleep is a local phenomenon. Explain how this is possible. Provide TWO (2) examples to illustrate this.,L2
Explain any two types of resistive transducers.,L2
"Annealing is a thermal process typically performed after ion implantation. With the aid of diagrams, briefly discuss the purpose of this process. ",L2
Briefly explain THREE (3) main sources of banks earnings.,L2
State the Dirichlet conditions for the existence of Fourier Series.,L2
Explain any FOUR (4) product design strategies that could help company to reduce cost.,L2
"Based on the aspartate protease mechanism, explain the concept of using ""Crixivan"" to treat HIV patients. ",L2
Describe the industrial application of enzymes in beer production.,L2
Discuss SIX (6) considerations before choosing the foundation type.,L2
Discuss THREE (3) consequences of technology on organizational communication. Provide ONE (1) relevant example for each answer.,L2
Draw a front and back for business card layout.,L2
Explain fast transpose of sparse matrix with suitable example.,L2
Explain TWO (2) components of art.,L2
Draw the block diagram and explain components of electric vehicle.,L2
Explain idealized stress strain curve for plastic analysis.,L2
Identify FOUR (4) factors that affect the willingness of people to perform prosocial behaviors.,L2
Discuss the advantages and disadvantages of using laccase-based de colorization treatment.,L2
Explain FOUR (4) process strategies you have learned.,L2
State and explain superposition theorem.,L2
"With the aid of a flow chart, briefly describe the steps involved in developing a successful animal breeding programme. ",L2
List and explain TWO (2) advantages and THREE (3) disadvantages of economic growth.,L2
Explain Carbon cluster.,L2
Discuss FOUR (4) reasons why Capital Asset Pricing Model (CAPM) is not the best model to estimate returns.,L2
Briefly explain and draw the structure of dilute foams and concentrated foams.,L2
"With respect to the data processing cycle of an organisation, explain the ""garbage in, garbage out"". Briefly discuss on the measures to be taken by the companies to avoid âgarbage in"" data input errors. ",L2
Explain in detail state table design method for hardwired control design.,L2
State the working and uses of Electronic Total Station.,L2
